# label,t (nu=10)
# total_paths,200000
# bins,2000, xmin,0, xmax,6000000000, width,3000000
x,pdf
1500000,0
4500000,0
7500000,0
10500000,5e-12
13500000,1e-11
16500000,5e-11
19500000,7.833333333e-11
22500000,1.766666667e-10
25500000,3.483333333e-10
28500000,5.683333333e-10
31500000,7.7e-10
34500000,1.155e-09
37500000,1.56e-09
40500000,2.155e-09
43500000,2.628333333e-09
46500000,3.255e-09
49500000,3.72e-09
52500000,4.298333333e-09
55500000,4.756666667e-09
58500000,5.453333333e-09
61500000,5.941666667e-09
64500000,6.605e-09
67500000,7.091666667e-09
70500000,7.361666667e-09
73500000,7.978333333e-09
76500000,7.86e-09
79500000,8.11e-09
82500000,8.153333333e-09
85500000,8.493333333e-09
88500000,8.381666667e-09
91500000,8.5e-09
94500000,8.455e-09
97500000,8.306666667e-09
100500000,7.931666667e-09
103500000,8.158333333e-09
106500000,7.905e-09
109500000,7.57e-09
112500000,7.445e-09
115500000,7.331666667e-09
118500000,7.063333333e-09
121500000,6.785e-09
124500000,6.705e-09
127500000,6.248333333e-09
130500000,6.01e-09
133500000,5.891666667e-09
136500000,5.653333333e-09
139500000,5.201666667e-09
142500000,5.063333333e-09
145500000,4.966666667e-09
148500000,4.625e-09
151500000,4.535e-09
154500000,4.148333333e-09
157500000,4.035e-09
160500000,3.868333333e-09
163500000,3.706666667e-09
166500000,3.526666667e-09
169500000,3.271666667e-09
172500000,3.128333333e-09
175500000,3.125e-09
178500000,2.921666667e-09
181500000,2.703333333e-09
184500000,2.495e-09
187500000,2.465e-09
190500000,2.435e-09
193500000,2.278333333e-09
196500000,2.211666667e-09
199500000,1.966666667e-09
202500000,1.965e-09
205500000,1.808333333e-09
208500000,1.621666667e-09
211500000,1.661666667e-09
214500000,1.615e-09
217500000,1.458333333e-09
220500000,1.41e-09
223500000,1.266666667e-09
226500000,1.275e-09
229500000,1.185e-09
232500000,1.151666667e-09
235500000,1.055e-09
238500000,1.048333333e-09
241500000,9.616666667e-10
244500000,9.633333333e-10
247500000,8.766666667e-10
250500000,7.85e-10
253500000,8.55e-10
256500000,6.983333333e-10
259500000,6.916666667e-10
262500000,6.366666667e-10
265500000,5.816666667e-10
268500000,6.3e-10
271500000,5.933333333e-10
274500000,5.55e-10
277500000,5.233333333e-10
280500000,4.666666667e-10
283500000,4.683333333e-10
286500000,4.616666667e-10
289500000,3.733333333e-10
292500000,3.316666667e-10
295500000,3.883333333e-10
298500000,3.866666667e-10
301500000,3.116666667e-10
304500000,3.766666667e-10
307500000,3.1e-10
310500000,3.333333333e-10
313500000,2.55e-10
316500000,2.933333333e-10
319500000,2.35e-10
322500000,2.45e-10
325500000,2.2e-10
328500000,1.8e-10
331500000,2.283333333e-10
334500000,1.9e-10
337500000,1.583333333e-10
340500000,1.766666667e-10
343500000,1.533333333e-10
346500000,1.733333333e-10
349500000,1.666666667e-10
352500000,1.416666667e-10
355500000,1.5e-10
358500000,1.266666667e-10
361500000,1.3e-10
364500000,1.266666667e-10
367500000,1.116666667e-10
370500000,1.016666667e-10
373500000,9.666666667e-11
376500000,1.166666667e-10
379500000,7.666666667e-11
382500000,9.666666667e-11
385500000,9e-11
388500000,5.666666667e-11
391500000,8.833333333e-11
394500000,6.333333333e-11
397500000,6.666666667e-11
400500000,8.5e-11
403500000,4e-11
406500000,7.333333333e-11
409500000,5.833333333e-11
412500000,5.166666667e-11
415500000,6e-11
418500000,4.5e-11
421500000,5.166666667e-11
424500000,4.833333333e-11
427500000,4.333333333e-11
430500000,4.5e-11
433500000,2.833333333e-11
436500000,3.5e-11
439500000,2.833333333e-11
442500000,3.166666667e-11
445500000,2.166666667e-11
448500000,3.166666667e-11
451500000,2.666666667e-11
454500000,2.166666667e-11
457500000,1.5e-11
460500000,2.833333333e-11
463500000,2.5e-11
466500000,2e-11
469500000,2.5e-11
472500000,1e-11
475500000,1.833333333e-11
478500000,1.333333333e-11
481500000,2e-11
484500000,1.833333333e-11
487500000,1.5e-11
490500000,1e-11
493500000,1e-11
496500000,1.5e-11
499500000,1e-11
502500000,1.166666667e-11
505500000,8.333333333e-12
508500000,1.166666667e-11
511500000,6.666666667e-12
514500000,6.666666667e-12
517500000,1.5e-11
520500000,6.666666667e-12
523500000,1.333333333e-11
526500000,8.333333333e-12
529500000,6.666666667e-12
532500000,1.5e-11
535500000,1.666666667e-12
538500000,1.666666667e-12
541500000,6.666666667e-12
544500000,1.666666667e-11
547500000,3.333333333e-12
550500000,3.333333333e-12
553500000,3.333333333e-12
556500000,5e-12
559500000,8.333333333e-12
562500000,3.333333333e-12
565500000,5e-12
568500000,5e-12
571500000,6.666666667e-12
574500000,6.666666667e-12
577500000,5e-12
580500000,0
583500000,3.333333333e-12
586500000,3.333333333e-12
589500000,0
592500000,5e-12
595500000,0
598500000,1.666666667e-12
601500000,1.666666667e-12
604500000,0
607500000,1.666666667e-12
610500000,3.333333333e-12
613500000,1.666666667e-12
616500000,0
619500000,0
622500000,0
625500000,0
628500000,5e-12
631500000,0
634500000,5e-12
637500000,0
640500000,0
643500000,3.333333333e-12
646500000,0
649500000,1.666666667e-12
652500000,1.666666667e-12
655500000,0
658500000,1.666666667e-12
661500000,0
664500000,1.666666667e-12
667500000,0
670500000,0
673500000,1.666666667e-12
676500000,1.666666667e-12
679500000,0
682500000,0
685500000,0
688500000,1.666666667e-12
691500000,0
694500000,1.666666667e-12
697500000,0
700500000,0
703500000,3.333333333e-12
706500000,0
709500000,0
712500000,1.666666667e-12
715500000,0
718500000,0
721500000,0
724500000,0
727500000,0
730500000,0
733500000,0
736500000,0
739500000,0
742500000,0
745500000,0
748500000,3.333333333e-12
751500000,0
754500000,0
757500000,0
760500000,0
763500000,0
766500000,1.666666667e-12
769500000,0
772500000,0
775500000,0
778500000,0
781500000,0
784500000,0
787500000,0
790500000,0
793500000,0
796500000,0
799500000,0
802500000,0
805500000,0
808500000,0
811500000,0
814500000,0
817500000,1.666666667e-12
820500000,0
823500000,0
826500000,0
829500000,0
832500000,0
835500000,0
838500000,0
841500000,0
844500000,0
847500000,0
850500000,0
853500000,0
856500000,0
859500000,0
862500000,0
865500000,0
868500000,0
871500000,0
874500000,0
877500000,0
880500000,0
883500000,0
886500000,0
889500000,0
892500000,0
895500000,0
898500000,0
901500000,1.666666667e-12
904500000,0
907500000,0
910500000,0
913500000,0
916500000,0
919500000,0
922500000,0
925500000,0
928500000,0
931500000,0
934500000,0
937500000,0
940500000,0
943500000,0
946500000,0
949500000,0
952500000,0
955500000,0
958500000,0
961500000,0
964500000,0
967500000,0
970500000,0
973500000,0
976500000,0
979500000,0
982500000,0
985500000,0
988500000,0
991500000,0
994500000,0
997500000,0
1000500000,0
1003500000,0
1006500000,0
1009500000,0
1012500000,0
1015500000,0
1018500000,0
1021500000,0
1024500000,0
1027500000,0
1030500000,0
1033500000,0
1036500000,0
1039500000,0
1042500000,0
1045500000,0
1048500000,0
1051500000,0
1054500000,0
1057500000,0
1060500000,0
1063500000,0
1066500000,0
1069500000,0
1072500000,0
1075500000,0
1078500000,0
1081500000,0
1084500000,0
1087500000,0
1090500000,0
1093500000,0
1096500000,0
1099500000,0
1102500000,0
1105500000,0
1108500000,0
1111500000,0
1114500000,0
1117500000,0
1120500000,0
1123500000,0
1126500000,0
1129500000,0
1132500000,0
1135500000,0
1138500000,0
1141500000,0
1144500000,0
1147500000,0
1150500000,0
1153500000,0
1156500000,0
1159500000,0
1162500000,0
1165500000,0
1168500000,0
1171500000,0
1174500000,0
1177500000,0
1180500000,0
1183500000,0
1186500000,0
1189500000,0
1192500000,0
1195500000,0
1198500000,0
1201500000,0
1204500000,0
1207500000,0
1210500000,0
1213500000,0
1216500000,0
1219500000,0
1222500000,0
1225500000,0
1228500000,0
1231500000,0
1234500000,0
1237500000,0
1240500000,0
1243500000,0
1246500000,0
1249500000,0
1252500000,0
1255500000,0
1258500000,0
1261500000,0
1264500000,0
1267500000,0
1270500000,0
1273500000,0
1276500000,0
1279500000,0
1282500000,0
1285500000,0
1288500000,0
1291500000,0
1294500000,0
1297500000,0
1300500000,0
1303500000,0
1306500000,0
1309500000,0
1312500000,0
1315500000,0
1318500000,0
1321500000,0
1324500000,0
1327500000,0
1330500000,0
1333500000,0
1336500000,0
