--- Project directories are set up. ---
--- Starting HFS-GAN Training (v22.1 Multivariate) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [1/5000] | C Loss: -1.0360 | G Loss: 1459.2832 | Style Loss: 1.7693 | Corr Loss: 1.2559 | Time: 12.71s
Epoch [2/5000] | C Loss: -1.8045 | G Loss: 1314.8743 | Style Loss: 1.6035 | Corr Loss: 1.1244 | Time: 6.62s
Epoch [3/5000] | C Loss: -2.9717 | G Loss: 1281.7338 | Style Loss: 1.8400 | Corr Loss: 0.9119 | Time: 6.79s
Epoch [4/5000] | C Loss: -3.6490 | G Loss: 1238.9041 | Style Loss: 1.8334 | Corr Loss: 0.8438 | Time: 6.59s
Epoch [5/5000] | C Loss: -4.3816 | G Loss: 1233.3711 | Style Loss: 1.9457 | Corr Loss: 0.7591 | Time: 6.64s
Epoch [6/5000] | C Loss: -5.3884 | G Loss: 1044.2794 | Style Loss: 1.6290 | Corr Loss: 0.6525 | Time: 6.63s
Epoch [7/5000] | C Loss: -6.6785 | G Loss: 1038.7147 | Style Loss: 1.6864 | Corr Loss: 0.6041 | Time: 6.64s
Epoch [8/5000] | C Loss: -8.2483 | G Loss: 997.3702 | Style Loss: 1.5850 | Corr Loss: 0.6013 | Time: 6.65s
Epoch [9/5000] | C Loss: -9.3950 | G Loss: 929.0753 | Style Loss: 1.5162 | Corr Loss: 0.5323 | Time: 6.64s
Epoch [10/5000] | C Loss: -10.5644 | G Loss: 1114.1267 | Style Loss: 1.9510 | Corr Loss: 0.5480 | Time: 6.66s
Epoch [11/5000] | C Loss: -11.1236 | G Loss: 909.5024 | Style Loss: 1.4876 | Corr Loss: 0.5144 | Time: 6.63s
Epoch [12/5000] | C Loss: -11.5917 | G Loss: 969.6890 | Style Loss: 1.6766 | Corr Loss: 0.4881 | Time: 6.62s
Epoch [13/5000] | C Loss: -11.5853 | G Loss: 941.1388 | Style Loss: 1.5700 | Corr Loss: 0.5108 | Time: 6.65s
Epoch [14/5000] | C Loss: -12.0817 | G Loss: 994.2983 | Style Loss: 1.6858 | Corr Loss: 0.5238 | Time: 6.64s
Epoch [15/5000] | C Loss: -11.7971 | G Loss: 882.3359 | Style Loss: 1.5483 | Corr Loss: 0.4276 | Time: 6.61s
