--- Project directories are set up. ---
--- Starting HFS-GAN Training (v22.1 Multivariate) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [1/10000] | C Loss: -2.7829 | G Loss: 874.8550 | Style Loss: 1.9398 | Corr Loss: 1.3651 | Time: 10.04s
Epoch [2/10000] | C Loss: -3.3447 | G Loss: 814.0585 | Style Loss: 1.8374 | Corr Loss: 1.2688 | Time: 6.57s
Epoch [3/10000] | C Loss: -3.9540 | G Loss: 746.1271 | Style Loss: 1.7776 | Corr Loss: 1.1452 | Time: 6.59s
Epoch [4/10000] | C Loss: -3.4830 | G Loss: 721.6382 | Style Loss: 1.7548 | Corr Loss: 1.1012 | Time: 6.58s
Epoch [5/10000] | C Loss: -2.7837 | G Loss: 695.9734 | Style Loss: 1.8683 | Corr Loss: 1.0271 | Time: 6.67s
Epoch [6/10000] | C Loss: -3.3801 | G Loss: 679.9897 | Style Loss: 2.1888 | Corr Loss: 0.9301 | Time: 6.58s
Epoch [7/10000] | C Loss: -2.9894 | G Loss: 640.7795 | Style Loss: 1.7776 | Corr Loss: 0.9343 | Time: 6.57s
Epoch [8/10000] | C Loss: -2.7221 | G Loss: 574.0731 | Style Loss: 1.6975 | Corr Loss: 0.8164 | Time: 6.60s
Epoch [9/10000] | C Loss: -2.5782 | G Loss: 578.8103 | Style Loss: 1.9877 | Corr Loss: 0.7677 | Time: 6.59s
Epoch [10/10000] | C Loss: -2.8172 | G Loss: 518.0512 | Style Loss: 1.7115 | Corr Loss: 0.7004 | Time: 6.57s
Epoch [11/10000] | C Loss: -2.2503 | G Loss: 532.2133 | Style Loss: 1.8506 | Corr Loss: 0.7014 | Time: 6.60s
Epoch [12/10000] | C Loss: -2.4201 | G Loss: 496.8798 | Style Loss: 1.8185 | Corr Loss: 0.6346 | Time: 6.60s
Epoch [13/10000] | C Loss: -2.3200 | G Loss: 511.8671 | Style Loss: 1.9051 | Corr Loss: 0.6483 | Time: 6.59s
Epoch [14/10000] | C Loss: -2.1809 | G Loss: 525.0115 | Style Loss: 2.0068 | Corr Loss: 0.6544 | Time: 6.54s
Epoch [15/10000] | C Loss: -2.2345 | G Loss: 476.4930 | Style Loss: 1.7650 | Corr Loss: 0.6052 | Time: 6.61s
Epoch [16/10000] | C Loss: -2.1960 | G Loss: 489.6764 | Style Loss: 2.1292 | Corr Loss: 0.5582 | Time: 6.58s
Epoch [17/10000] | C Loss: -2.4784 | G Loss: 476.5800 | Style Loss: 1.9822 | Corr Loss: 0.5604 | Time: 6.53s
Epoch [18/10000] | C Loss: -2.3295 | G Loss: 468.0099 | Style Loss: 1.9226 | Corr Loss: 0.5560 | Time: 6.53s
Epoch [19/10000] | C Loss: -2.4316 | G Loss: 440.2629 | Style Loss: 1.9068 | Corr Loss: 0.5030 | Time: 6.54s
Epoch [20/10000] | C Loss: -2.2336 | G Loss: 396.4139 | Style Loss: 1.7310 | Corr Loss: 0.4513 | Time: 6.57s
Epoch [21/10000] | C Loss: -1.8251 | G Loss: 429.5676 | Style Loss: 1.8492 | Corr Loss: 0.4927 | Time: 6.54s
Epoch [22/10000] | C Loss: -2.4571 | G Loss: 411.6157 | Style Loss: 1.8843 | Corr Loss: 0.4500 | Time: 6.57s
Epoch [23/10000] | C Loss: -2.1759 | G Loss: 411.8585 | Style Loss: 1.7370 | Corr Loss: 0.4798 | Time: 6.57s
Epoch [24/10000] | C Loss: -2.2406 | G Loss: 415.0242 | Style Loss: 1.8929 | Corr Loss: 0.4551 | Time: 6.56s
Epoch [25/10000] | C Loss: -2.5432 | G Loss: 431.1104 | Style Loss: 1.9119 | Corr Loss: 0.4834 | Time: 6.55s
Epoch [26/10000] | C Loss: -2.4818 | G Loss: 419.8177 | Style Loss: 1.9266 | Corr Loss: 0.4575 | Time: 6.58s
Epoch [27/10000] | C Loss: -2.6656 | G Loss: 426.2438 | Style Loss: 1.9096 | Corr Loss: 0.4739 | Time: 6.56s
Epoch [28/10000] | C Loss: -2.4219 | G Loss: 410.5429 | Style Loss: 1.8712 | Corr Loss: 0.4501 | Time: 6.56s
Epoch [29/10000] | C Loss: -2.5110 | G Loss: 408.6832 | Style Loss: 1.8485 | Corr Loss: 0.4506 | Time: 6.57s
Epoch [30/10000] | C Loss: -2.2429 | G Loss: 407.4077 | Style Loss: 1.8049 | Corr Loss: 0.4566 | Time: 6.62s
Epoch [31/10000] | C Loss: -2.5841 | G Loss: 481.9794 | Style Loss: 2.0870 | Corr Loss: 0.5489 | Time: 6.59s
Epoch [32/10000] | C Loss: -2.5307 | G Loss: 439.2356 | Style Loss: 2.1531 | Corr Loss: 0.4508 | Time: 6.57s
Epoch [33/10000] | C Loss: -2.4048 | G Loss: 462.9170 | Style Loss: 2.3254 | Corr Loss: 0.4631 | Time: 6.57s
Epoch [34/10000] | C Loss: -2.5023 | G Loss: 403.7789 | Style Loss: 1.8721 | Corr Loss: 0.4356 | Time: 6.57s
Epoch [35/10000] | C Loss: -2.5468 | G Loss: 396.8806 | Style Loss: 1.9440 | Corr Loss: 0.4068 | Time: 6.55s
Epoch [36/10000] | C Loss: -2.6987 | G Loss: 427.6129 | Style Loss: 1.9317 | Corr Loss: 0.4710 | Time: 6.58s
Epoch [37/10000] | C Loss: -2.8479 | G Loss: 410.6128 | Style Loss: 1.8432 | Corr Loss: 0.4539 | Time: 6.57s
Epoch [38/10000] | C Loss: -2.5017 | G Loss: 423.0966 | Style Loss: 1.9015 | Corr Loss: 0.4676 | Time: 6.57s
Epoch [39/10000] | C Loss: -2.7011 | G Loss: 436.3350 | Style Loss: 2.0674 | Corr Loss: 0.4606 | Time: 6.57s
Epoch [40/10000] | C Loss: -3.0014 | G Loss: 452.2079 | Style Loss: 2.0597 | Corr Loss: 0.4931 | Time: 6.57s
Epoch [41/10000] | C Loss: -3.1514 | G Loss: 421.5603 | Style Loss: 2.0327 | Corr Loss: 0.4373 | Time: 6.59s
Epoch [42/10000] | C Loss: -3.6205 | G Loss: 430.9016 | Style Loss: 1.8688 | Corr Loss: 0.4877 | Time: 6.57s
Epoch [43/10000] | C Loss: -3.8255 | G Loss: 419.7366 | Style Loss: 1.7272 | Corr Loss: 0.4933 | Time: 6.57s
Epoch [44/10000] | C Loss: -3.7076 | G Loss: 416.2067 | Style Loss: 1.8888 | Corr Loss: 0.4527 | Time: 6.57s
Epoch [45/10000] | C Loss: -4.2782 | G Loss: 415.3754 | Style Loss: 1.8895 | Corr Loss: 0.4508 | Time: 6.55s
