--- Project directories are set up. ---
--- Starting HFS-GAN Training (v24 Final Solution) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [1/10000] | C Loss: 12.0240 | G Loss: 802.7253 | Vol Loss: 0.0206 | Corr Loss: 1.4143 | Time: 7.03s
Epoch [2/10000] | C Loss: 8.4368 | G Loss: 762.1790 | Vol Loss: 0.0209 | Corr Loss: 1.3234 | Time: 6.54s
Epoch [3/10000] | C Loss: 5.5262 | G Loss: 725.8308 | Vol Loss: 0.0203 | Corr Loss: 1.2786 | Time: 6.52s
Epoch [4/10000] | C Loss: 2.2826 | G Loss: 661.1506 | Vol Loss: 0.0208 | Corr Loss: 1.1325 | Time: 6.55s
Epoch [5/10000] | C Loss: -0.6328 | G Loss: 649.6650 | Vol Loss: 0.0195 | Corr Loss: 1.0978 | Time: 6.70s
Epoch [6/10000] | C Loss: -1.8474 | G Loss: 592.3124 | Vol Loss: 0.0205 | Corr Loss: 0.9939 | Time: 6.55s
Epoch [7/10000] | C Loss: -3.0101 | G Loss: 580.3386 | Vol Loss: 0.0202 | Corr Loss: 0.9465 | Time: 6.58s
Epoch [8/10000] | C Loss: -3.1576 | G Loss: 533.5696 | Vol Loss: 0.0216 | Corr Loss: 0.8895 | Time: 6.63s
Epoch [9/10000] | C Loss: -2.9466 | G Loss: 535.0642 | Vol Loss: 0.0215 | Corr Loss: 0.8517 | Time: 6.52s
Epoch [10/10000] | C Loss: -2.9464 | G Loss: 473.4577 | Vol Loss: 0.0214 | Corr Loss: 0.7675 | Time: 6.54s
Epoch [11/10000] | C Loss: -2.8248 | G Loss: 477.9760 | Vol Loss: 0.0223 | Corr Loss: 0.7311 | Time: 6.55s
Epoch [12/10000] | C Loss: -2.9181 | G Loss: 435.5235 | Vol Loss: 0.0219 | Corr Loss: 0.6834 | Time: 6.54s
Epoch [13/10000] | C Loss: -2.4320 | G Loss: 407.1356 | Vol Loss: 0.0225 | Corr Loss: 0.6428 | Time: 6.59s
Epoch [14/10000] | C Loss: -2.5745 | G Loss: 385.8875 | Vol Loss: 0.0229 | Corr Loss: 0.5991 | Time: 6.54s
Epoch [15/10000] | C Loss: -2.0321 | G Loss: 401.3745 | Vol Loss: 0.0230 | Corr Loss: 0.6103 | Time: 6.58s
Epoch [16/10000] | C Loss: -2.6002 | G Loss: 392.1078 | Vol Loss: 0.0228 | Corr Loss: 0.6100 | Time: 6.56s
Epoch [17/10000] | C Loss: -2.5816 | G Loss: 388.4311 | Vol Loss: 0.0229 | Corr Loss: 0.5760 | Time: 6.56s
Epoch [18/10000] | C Loss: -2.6570 | G Loss: 361.9757 | Vol Loss: 0.0238 | Corr Loss: 0.5249 | Time: 6.56s
Epoch [19/10000] | C Loss: -2.3879 | G Loss: 348.2112 | Vol Loss: 0.0239 | Corr Loss: 0.5167 | Time: 6.56s
Epoch [20/10000] | C Loss: -2.3050 | G Loss: 332.7540 | Vol Loss: 0.0239 | Corr Loss: 0.4752 | Time: 6.58s
Epoch [21/10000] | C Loss: -2.5686 | G Loss: 380.8261 | Vol Loss: 0.0241 | Corr Loss: 0.5504 | Time: 6.56s
Epoch [22/10000] | C Loss: -2.3474 | G Loss: 349.6624 | Vol Loss: 0.0242 | Corr Loss: 0.4999 | Time: 6.56s
Epoch [23/10000] | C Loss: -2.1698 | G Loss: 339.3583 | Vol Loss: 0.0248 | Corr Loss: 0.4829 | Time: 6.57s
Epoch [24/10000] | C Loss: -2.6405 | G Loss: 345.2292 | Vol Loss: 0.0241 | Corr Loss: 0.4948 | Time: 6.55s
Epoch [25/10000] | C Loss: -2.1725 | G Loss: 344.5748 | Vol Loss: 0.0245 | Corr Loss: 0.4821 | Time: 6.57s
Epoch [26/10000] | C Loss: -2.2128 | G Loss: 354.3864 | Vol Loss: 0.0242 | Corr Loss: 0.5170 | Time: 6.56s
Epoch [27/10000] | C Loss: -2.3344 | G Loss: 339.2571 | Vol Loss: 0.0247 | Corr Loss: 0.4594 | Time: 6.56s
Epoch [28/10000] | C Loss: -2.3742 | G Loss: 324.0710 | Vol Loss: 0.0258 | Corr Loss: 0.4440 | Time: 6.57s
Epoch [29/10000] | C Loss: -2.4188 | G Loss: 342.8771 | Vol Loss: 0.0245 | Corr Loss: 0.4957 | Time: 6.56s
Epoch [30/10000] | C Loss: -2.5784 | G Loss: 322.7837 | Vol Loss: 0.0266 | Corr Loss: 0.4431 | Time: 6.56s
Epoch [31/10000] | C Loss: -2.2605 | G Loss: 334.5874 | Vol Loss: 0.0261 | Corr Loss: 0.4566 | Time: 6.56s
Epoch [32/10000] | C Loss: -2.3461 | G Loss: 352.0530 | Vol Loss: 0.0257 | Corr Loss: 0.5037 | Time: 6.57s
Epoch [33/10000] | C Loss: -2.1224 | G Loss: 328.6031 | Vol Loss: 0.0253 | Corr Loss: 0.4373 | Time: 6.55s
Epoch [34/10000] | C Loss: -2.1777 | G Loss: 354.7950 | Vol Loss: 0.0260 | Corr Loss: 0.4944 | Time: 6.57s
Epoch [35/10000] | C Loss: -2.2205 | G Loss: 329.7382 | Vol Loss: 0.0252 | Corr Loss: 0.4644 | Time: 6.59s
Epoch [36/10000] | C Loss: -2.4024 | G Loss: 340.8453 | Vol Loss: 0.0250 | Corr Loss: 0.4732 | Time: 6.61s
Epoch [37/10000] | C Loss: -2.3817 | G Loss: 348.9781 | Vol Loss: 0.0253 | Corr Loss: 0.4665 | Time: 6.59s
Epoch [38/10000] | C Loss: -2.4217 | G Loss: 314.2583 | Vol Loss: 0.0257 | Corr Loss: 0.4311 | Time: 6.57s
Epoch [39/10000] | C Loss: -2.4282 | G Loss: 329.6169 | Vol Loss: 0.0254 | Corr Loss: 0.4434 | Time: 6.56s
Epoch [40/10000] | C Loss: -2.1296 | G Loss: 327.5035 | Vol Loss: 0.0259 | Corr Loss: 0.4724 | Time: 6.57s
Epoch [41/10000] | C Loss: -2.2402 | G Loss: 333.8396 | Vol Loss: 0.0254 | Corr Loss: 0.4659 | Time: 6.56s
Epoch [42/10000] | C Loss: -2.1684 | G Loss: 349.3474 | Vol Loss: 0.0248 | Corr Loss: 0.4820 | Time: 6.56s
Epoch [43/10000] | C Loss: -2.4243 | G Loss: 381.7370 | Vol Loss: 0.0262 | Corr Loss: 0.5400 | Time: 6.57s
Epoch [44/10000] | C Loss: -2.3630 | G Loss: 344.0513 | Vol Loss: 0.0245 | Corr Loss: 0.4750 | Time: 6.57s
Epoch [45/10000] | C Loss: -2.0710 | G Loss: 311.9190 | Vol Loss: 0.0249 | Corr Loss: 0.4013 | Time: 6.57s
Epoch [46/10000] | C Loss: -2.1554 | G Loss: 345.2580 | Vol Loss: 0.0249 | Corr Loss: 0.4861 | Time: 6.57s
Epoch [47/10000] | C Loss: -2.3002 | G Loss: 337.2941 | Vol Loss: 0.0238 | Corr Loss: 0.4534 | Time: 6.55s
Epoch [48/10000] | C Loss: -2.1461 | G Loss: 346.1471 | Vol Loss: 0.0251 | Corr Loss: 0.4812 | Time: 6.59s
Epoch [49/10000] | C Loss: -2.2841 | G Loss: 337.1741 | Vol Loss: 0.0252 | Corr Loss: 0.4739 | Time: 6.59s
Epoch [50/10000] | C Loss: -2.0380 | G Loss: 343.1249 | Vol Loss: 0.0257 | Corr Loss: 0.4880 | Time: 6.57s
Epoch [51/10000] | C Loss: -2.0533 | G Loss: 330.9858 | Vol Loss: 0.0239 | Corr Loss: 0.4660 | Time: 6.56s
Epoch [52/10000] | C Loss: -2.2114 | G Loss: 332.6714 | Vol Loss: 0.0246 | Corr Loss: 0.4413 | Time: 6.57s
Epoch [53/10000] | C Loss: -1.8769 | G Loss: 331.1194 | Vol Loss: 0.0245 | Corr Loss: 0.4717 | Time: 6.57s
Epoch [54/10000] | C Loss: -2.2431 | G Loss: 322.0434 | Vol Loss: 0.0250 | Corr Loss: 0.4600 | Time: 6.56s
Epoch [55/10000] | C Loss: -2.2983 | G Loss: 317.6561 | Vol Loss: 0.0248 | Corr Loss: 0.4433 | Time: 6.60s
Epoch [56/10000] | C Loss: -2.1015 | G Loss: 334.0567 | Vol Loss: 0.0249 | Corr Loss: 0.4686 | Time: 6.60s
Epoch [57/10000] | C Loss: -2.1170 | G Loss: 341.6202 | Vol Loss: 0.0245 | Corr Loss: 0.4787 | Time: 6.57s
